1702588311415125000, MainThread: 8663646848, 'Lock depositLock created'
1702588311415279000, MainThread: 8663646848, 'Main thread initialized'
PRINT: Starting banking.py
1702588311415741000, add_profit: 13065138176, 'Lock depositLock acquire request'
1702588311415888000, add_profit: 13065138176, 'Lock depositLock acquired'
1702588311416049000, add_profit: 13065138176, 'Thread started'
1702588311416281000, deduct_bill: 13081927680, 'Lock depositLock acquire request'
1702588311416397000, deduct_bill: 13081927680, 'Thread started'
PRINT: Middle of banking.py, threads started
1702588311517092000, add_profit: 13065138176, 'Lock depositLock release request'
1702588311517338000, add_profit: 13065138176, 'Lock depositLock released'
1702588311517405000, add_profit: 13065138176, 'Lock depositLock acquire request'
1702588311517469000, deduct_bill: 13081927680, 'Lock depositLock acquired'
1702588311622584000, deduct_bill: 13081927680, 'Lock depositLock release request'
1702588311622971000, deduct_bill: 13081927680, 'Lock depositLock released'
1702588311623090000, add_profit: 13065138176, 'Lock depositLock acquired'
1702588311623226000, deduct_bill: 13081927680, 'Lock depositLock acquire request'
1702588311728323000, add_profit: 13065138176, 'Lock depositLock release request'
1702588311728614000, add_profit: 13065138176, 'Lock depositLock released'
1702588311728688000, deduct_bill: 13081927680, 'Lock depositLock acquired'
1702588311728766000, add_profit: 13065138176, 'Lock depositLock acquire request'
1702588311831464000, deduct_bill: 13081927680, 'Lock depositLock release request'
1702588311831723000, deduct_bill: 13081927680, 'Lock depositLock released'
1702588311831824000, add_profit: 13065138176, 'Lock depositLock acquired'
1702588311832078000, deduct_bill: 13081927680, 'Lock depositLock acquire request'
1702588311935443000, add_profit: 13065138176, 'Lock depositLock release request'
1702588311935678000, add_profit: 13065138176, 'Lock depositLock released'
1702588311935737000, deduct_bill: 13081927680, 'Lock depositLock acquired'
1702588311935804000, add_profit: 13065138176, 'Lock depositLock acquire request'
1702588312037593000, deduct_bill: 13081927680, 'Lock depositLock release request'
1702588312037880000, deduct_bill: 13081927680, 'Lock depositLock released'
1702588312038012000, add_profit: 13065138176, 'Lock depositLock acquired'
1702588312038150000, deduct_bill: 13081927680, 'Lock depositLock acquire request'
1702588312142338000, add_profit: 13065138176, 'Lock depositLock release request'
1702588312142519000, add_profit: 13065138176, 'Lock depositLock released'
1702588312142579000, add_profit: 13065138176, 'Lock depositLock acquire request'
1702588312142630000, deduct_bill: 13081927680, 'Lock depositLock acquired'
1702588312247326000, deduct_bill: 13081927680, 'Lock depositLock release request'
1702588312247505000, deduct_bill: 13081927680, 'Lock depositLock released'
1702588312247565000, deduct_bill: 13081927680, 'Lock depositLock acquire request'
1702588312247610000, deduct_bill: 13081927680, 'Lock depositLock acquired'
1702588312350289000, deduct_bill: 13081927680, 'Lock depositLock release request'
1702588312350717000, deduct_bill: 13081927680, 'Lock depositLock released'
1702588312350811000, deduct_bill: 13081927680, 'Lock depositLock acquire request'
1702588312350872000, deduct_bill: 13081927680, 'Lock depositLock acquired'
1702588312454320000, deduct_bill: 13081927680, 'Lock depositLock release request'
1702588312454545000, deduct_bill: 13081927680, 'Lock depositLock released'
1702588312454619000, deduct_bill: 13081927680, 'Lock depositLock acquire request'
1702588312454787000, add_profit: 13065138176, 'Lock depositLock acquired'
1702588312555320000, add_profit: 13065138176, 'Lock depositLock release request'
1702588312555565000, add_profit: 13065138176, 'Lock depositLock released'
1702588312555628000, add_profit: 13065138176, 'Lock depositLock acquire request'
1702588312555682000, add_profit: 13065138176, 'Lock depositLock acquired'
1702588312656104000, add_profit: 13065138176, 'Lock depositLock release request'
1702588312656383000, add_profit: 13065138176, 'Lock depositLock released'
1702588312656491000, deduct_bill: 13081927680, 'Lock depositLock acquired'
1702588312656662000, add_profit: 13065138176, 'Lock depositLock acquire request'
1702588312762331000, deduct_bill: 13081927680, 'Lock depositLock release request'
1702588312762832000, deduct_bill: 13081927680, 'Lock depositLock released'
1702588312762988000, deduct_bill: 13081927680, 'Lock depositLock acquire request'
1702588312763107000, add_profit: 13065138176, 'Lock depositLock acquired'
